Barcode/Id,Sampled At,Latitude,Longitude,Lab Analysis Date,Bulk Density <Calculated> (g/cm^3),Buffer pH [Sikora 1 buffer] <H + ISE>,Buffer pH [SMP] <H + ISE>,Buffer pH [Modified Woodruff buffer] <H + ISE>,pH [1:1 soil:water] <H+ ISE>,pH [1:2 soil:water] <H+ ISE>,Organic Matter [Loss-on-Ignition] <Gravimetric> (%),"Organic Carbon, Total [Combustion Analyzer] <Combustion Analyzer> (%)",Cation Exchange Capacity <Calculated> (meq/100g),Aluminum [Mehlich 3 ICP] <ICP> (ppm),"Boron [DTPA-Sorbitol] <ICP, AAS> (ppm)",Boron [Hot Water] <ICP> (ppm),Boron [Mehlich 3 ICP] <ICP> (ppm),"Calcium [Ammonium Acetate] <ICP, AAS> (ppm)","Calcium [Mehlich 3 ICP] <ICP, AAS> (ppm)","Copper [DTPA] <ICP, AAS> (ppm)","Copper [Mehlich 3 ICP] <ICP, AAS> (ppm)","Iron [DTPA] <ICP, AAS> (ppm)","Iron [Mehlich 3 ICP] <ICP, AAS> (ppm)","Potassium [Ammonium Acetate] <ICP, AAS> (ppm)","Potassium [Mehlich 3 ICP] <ICP, AAS> (ppm)","Magnesium [Ammonium Acetate] <ICP, AAS> (ppm)","Magnesium [Mehlich 3 ICP] <ICP, AAS> (ppm)","Manganese [DTPA] <ICP, AAS> (ppm)","Manganese [Mehlich 3 ICP] <ICP, AAS> (ppm)",Nitrate-Nitrogen [2 M KCl] <Spectrophotometric> (ppm),"Sodium [Ammonium Acetate] <ICP, AAS> (ppm)","Sodium [Mehlich 3 ICP] <ICP, AAS> (ppm)",Phosphorus [Bray P1 (1:10)] <Spectrophotometric> (ppm),Phosphorus [Mehlich 3 ICP] <ICP> (ppm),Phosphorus [Bicarbonate (Olsen)] <ICP-OES> (ppm),Sulfur [Mehlich 3 ICP] <ICP> (ppm),"Zinc [DTPA] <ICP, AAS> (ppm)","Zinc [Mehlich 3 ICP] <ICP, AAS> (ppm)"
MD7H,2024-09-12 11:48:25,20.4412841796875,-103.30663299560547,2024-09-12 11:48:31,1.282783835152468,7.179444313049316,7.156562805175781,6.9108171463012695,7.198253154754639,7.296204090118408,2.332679271697998,1.2659964561462402,24.39460563659668,443.9990234375,0.829723596572876,0.8377361297607422,1.7198772430419922,2807.14111328125,3851.565185546875,0,0,27.211780548095703,122.71826171875,289.8237609863281,298.0847473144531,405.3284912109375,475.54925537109375,19.498018264770508,54.04311752319336,22.011611938476562,92.45063018798828,94.19606018066406,62.70436096191406,95.33346557617188,33.8575439453125,31.03542137145996,3.3789432048797607,7.1303181648254395
MD7G,2024-09-12 11:46:49,20.441253662109375,-103.30664825439453,2024-09-12 11:46:57,1.2806448393282885,7.088230133056641,7.065149307250977,6.8462677001953125,7.298825740814209,7.396555423736572,2.346604108810425,1.50429368019104,24.325790405273438,271.6853942871094,0.7041468024253845,0.7359620332717896,1.4872193336486816,2842.6015625,3908.808349609375,2.9361038208007812,1.722702145576477,31.916656494140625,135.41090393066406,319.5503845214844,327.6758117675781,373.9170227050781,437.446044921875,22.33273696899414,61.90017318725586,18.05461883544922,66.7747802734375,68.11941528320312,49.1324462890625,74.69921112060547,28.687944412231445,31.87176513671875,4.1407389640808105,8.929659843444824
MD7F,2024-09-12 11:46:02,20.44124984741211,-103.30664825439453,2024-09-12 11:46:08,1.2323354778206503,7.090849876403809,7.067774772644043,6.848121643066406,7.319514274597168,7.417198181152344,2.6770784854888916,1.5708061456680296,24.50269889831543,346.0963134765625,0.7020114660263062,0.7342314124107361,1.4832630157470703,2861.5732421875,3939.43359375,1.8462753295898438,1.1829453706741333,30.342044830322266,131.16297912597656,320.879638671875,328.9989929199219,376.58575439453125,440.6833190917969,26.142799377441406,72.46060943603516,18.513591766357422,65.28224182128906,66.60357666015625,50.0599365234375,76.10933685302734,29.041229248046875,29.720748901367188,4.001742839813232,8.60135555267334
MD7E,2024-09-12 11:40:04,20.441240310668945,-103.30670166015625,2024-09-12 11:40:10,1.1078994638439392,7.219208717346191,7.196413993835449,6.9389567375183105,6.991681098937988,7.090086460113525,3.693288803100586,1.9562311172485352,24.243951034545898,604.7197875976562,0.690423846244812,0.7248402237892151,1.4617946147918701,2769.7705078125,3791.238525390625,0,0,42.7665901184082,164.6814727783203,283.92840576171875,292.2162780761719,301.2694396972656,349.3219299316406,25.603750228881836,70.96651458740234,23.165050506591797,96.50906372070312,98.31784057617188,57.82412338256836,87.91372680664062,31.998641967773438,32.93016052246094,4.091789245605469,8.814042091369629
MD7D,2024-09-12 11:36:01,20.441286087036133,-103.30671691894531,2024-09-12 11:36:07,1.2995769093797656,7.196788311004639,7.173944473266602,6.92309045791626,7.217314720153809,7.315223693847656,2.225325345993042,1.5466700792312622,23.108272552490234,430.35028076171875,0.6668352484703064,0.7057227492332458,1.4180915355682373,2663.65673828125,3619.94091796875,0.8885116577148438,0.7085961103439331,27.417537689208984,123.27334594726562,286.5929260253906,294.86865234375,398.6286926269531,467.4221496582031,19.177534103393555,53.15481948852539,18.786916732788086,80.62060546875,82.18136596679688,67.38636016845703,102.45181274414062,35.64094161987305,27.253368377685547,3.1965179443359375,6.699434280395508
MD7C,2024-09-12 11:33:01,20.44130516052246,-103.30684661865234,2024-09-12 11:33:08,1.3490623543665043,7.239601135253906,7.216850757598877,6.95338773727417,6.564573287963867,6.663918972015381,1.9281666278839111,1.020731806755066,12.724972915649413,516.7313842773438,0.4012928009033203,0.4905129671096802,0.926116943359375,1434.7762451171875,1636.18505859375,7.82285213470459,4.142950057983398,57.18941879272461,203.59088134765625,264.2078857421875,272.585693359375,234.91336059570312,268.82965087890625,27.128578186035156,75.19291687011719,11.743257522583008,91.38956451416016,93.1184310913086,50.26813507080078,76.42587280273438,29.120532989501953,28.50909423828125,3.002605676651001,6.241418361663818
MD7B,2024-09-12 11:30:15,20.441362380981445,-103.3067626953125,2024-09-12 11:30:23,1.1269610640705936,7.3222455978393555,7.299675941467285,7.011872291564941,7.132838249206543,7.23093318939209,3.5199368000030518,2.042964458465576,24.838281631469727,592.5905151367188,0.8267848491668701,0.8353544473648071,1.714432716369629,2986.41064453125,4140.9560546875,0,0,39.73212814331055,156.49520874023438,291.14447021484375,299.3994445800781,308.35125732421875,357.9124450683594,23.238035202026367,64.40940856933594,16.89508056640625,86.48553466796875,88.13784790039062,61.79199981689453,93.94634246826172,33.51002502441406,34.327110290527344,3.5351309776306152,7.499229431152344
MD7A,2024-09-12 11:26:46,20.441280364990234,-103.30674743652344,2024-09-12 11:26:51,1.1772636398480367,7.23378849029541,7.211025714874268,6.94927453994751,7.2718400955200195,7.36962890625,3.0947425365448,1.4915311336517334,26.75001335144043,378.7238464355469,0.8259525299072266,0.8346798419952393,1.7128905057907104,3248.9912109375,4564.83447265625,1.5434799194335938,1.0329806804656982,35.08308029174805,143.9531707763672,291.4151306152344,299.6688537597656,293.18756103515625,339.5183410644531,31.957426071166992,88.5771484375,19.722909927368164,74.01520538330078,75.47286224365234,49.89439392089844,75.85765075683594,28.978174209594727,34.61560821533203,4.126875400543213,8.896915435791016
MD79,2024-09-12 11:20:18,20.4412899017334,-103.30680847167969,2024-09-12 11:20:24,1.4239565685639544,7.164979934692383,7.142066955566406,6.900580883026123,6.870540142059326,6.969212055206299,1.5268770456314087,0.8444072604179382,19.57030792236328,454.14312744140625,0.5129904747009277,0.5810387134552002,1.1330609321594238,2271.1044921875,2986.25244140625,3.6629505157470703,2.082685708999634,56.89156723022461,202.78733825683594,179.25711059570312,188.0223388671875,261.92730712890625,301.5985412597656,29.016036987304688,80.42443084716797,25.902374267578125,100.16546630859375,102.03131866455078,52.79911804199219,80.27388763427734,30.0845947265625,24.914812088012695,2.863990545272827,5.914012908935547
MD78,2024-09-12 11:16:58,20.441307067871094,-103.3068618774414,2024-09-12 11:17:06,1.4370874709669164,7.55039644241333,7.528325080871582,7.17332649230957,7.5521368980407715,7.649308681488037,1.4618486166000366,0.8163044452667236,27.886648178100586,308.1153259277344,0.4530518054962158,0.5324612259864807,1.022011637687683,3375.7744140625,4769.498046875,4.1459197998046875,2.321884870529175,33.933536529541016,140.8519744873047,297.49053955078125,305.716552734375,281.7468566894531,325.6403503417969,28.82313346862793,79.88975524902344,18.454204559326172,122.35548400878906,124.56771850585938,50.413185119628906,76.64640045166016,29.175783157348633,36.7891845703125,3.6851632595062256,7.853601932525635
